user_index,title,authors,year,publication_type,journal_or_conference,volume,issue,pages,doi,url,pdf_filename,ris_filename,access_status,source_pdf_status,growth_method_seed,heating_method_seed,thermal_field_material_seed,category_seed,team_seed,publisher,keywords,abstract,notes
001,Growth of 4-Inch InP Single-Crystal Wafer Using the VGF-VB Technique,"Wei, Hua ; Yang, Bin ; Ye, Xiaoda ; Zhao, XingKai ; Qiu, Feng ; Hui, Feng",2025,JOUR,ACS Omega,10,25,26338-26348,10.1021/acsomega.4c09376,https://pubs.acs.org/doi/10.1021/acsomega.4c09376,001.pdf,001.ris,has_pdf,已找到 PDF,,電阻,石綿,長晶+模擬,雲南,,,,AI_Notes=growth; Unique_Key=DOI:10.1021/acsomega.4c09376
002,The impact of cooling rate on the structure and properties of VGF-InP single crystals,"Zhu, Xuefeng ; Wei, Hua ; Huang, Guoyong ; Deng, Weiquan",2025,JOUR,Journal of Crystal Growth,649,,127946,10.1016/j.jcrysgro.2024.127946,https://www.sciencedirect.com/science/article/abs/pii/S0022024824003841,002.pdf,002.ris,has_pdf,已找到 PDF,,電阻,石綿,長晶,雲南,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2024.127946
003,Regulation of the Temperature Field and Evolution of the Melt Convection Field During InP Crystal Growth with the Vertical Gradient Freeze Method,"Wang, Pei ; Li, Xiang ; Wang, Bowen ; Suo, Kainan ; Liu, Juncheng",2023,JOUR,Journal of Electronic Materials,52,,7346-7364,10.1007/s11664-023-10668-4,https://link.springer.com/article/10.1007/s11664-023-10668-4,003.pdf,003.ris,has_pdf,已找到 PDF,,電阻,石綿,模擬,中電科 46 所,,InP ; crystal growth ; heat transfer ; vertical gradient freeze ; numerical simulation,,AI_Notes=growth; Unique_Key=DOI:10.1007/s11664-023-10668-4
004,Design and optimization of complex single heater for vertical gradient freeze (VGF) grower,"Dezfoli, Amir Reza Ansari",2023,JOUR,Journal of Crystal Growth,603,,127051,10.1016/j.jcrysgro.2022.127051,https://www.sciencedirect.com/science/article/abs/pii/S0022024822005334,004.pdf,004.ris,has_pdf,已找到 PDF,,電阻,,模擬,勤益科大,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2022.127051
005,Melt-conditioned vertical gradient freeze (MCVGF) to increase growth speed and process efficiency: a modelling approach,"Dezfoli, Amir Reza Ansari",2023,JOUR,The International Journal of Advanced Manufacturing Technology,128,11月12日,5613-5620,10.1007/s00170-023-12277-1,https://link.springer.com/article/10.1007/s00170-023-12277-1,005.pdf,005.ris,has_pdf,已找到 PDF,,電阻,,模擬,勤益科大,,,,AI_Notes=growth; Unique_Key=DOI:10.1007/s00170-023-12277-1
006,A study on solid–liquid interface shape optimization and dislocation suppression for 4.5-inch InP single crystal growth based on vertical gradient freezing technique,"Duan, Zhuochen ; Wei, Hua ; Wu, Dingzhang ; Lv, Junhong ; Liu, Tinglong ; Wu, Xueqiang ; Liu, Hanbao ; Lin, Feng ; Yang, Jie ; Qiu, Feng ; Pu, Shikun ; Hui, Feng ; Wang, Chong",2026,JOUR,Journal of Crystal Growth,676,,128458,10.1016/j.jcrysgro.2025.128458,https://www.sciencedirect.com/science/article/abs/pii/S0022024825004129,006.pdf,006.ris,has_pdf,已找到 PDF,,電阻,,長晶+模擬,雲南,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/j.jcrysgro.2025.128458
007,VGF–VB stage switched growth process for 4.5 inch InP single crystals with low dislocation density and high uniformity,"Zhu, Xuefeng ; Li, Binyu ; Wei, Hua ; Ma, Yu",2026,JOUR,Materials Science in Semiconductor Processing,210,,110690,10.1016/j.mssp.2026.110690,https://www.sciencedirect.com/science/article/abs/pii/S1369800126002866,007.pdf,007.ris,has_pdf,已找到 PDF,,電阻,石綿,長晶,雲南,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/j.mssp.2026.110690
008,Crystal growth and wafer processing of 6-inch Indium Phosphide substrate,"Morishita, T. ; Kounoike, K. ; Fujiwara, S.",2016,CONF,CS ManTech Conference,,,,,https://sumitomoelectric.com/sites/default/files/2020-12/download_documents/2016.pdf,008.pdf,008.ris,has_pdf,已找到 PDF,,電阻,,,Sumitomo,,,,"Place=Miami, Florida, USA; AI_Notes=growth; Unique_Key=TITLE_YEAR:crystal growth and wafer processing of 6 inch indium phosphide substrate_2016"
009,"Growth and characterization of LEC, VCZ and VB InP single crystals","Kawase, T. ; Hosaka, N. ; Hashio, K. ; Hosokawa, Y.",2004,CONF,2004 International Conference on Indium Phosphide and Related Materials (IPRM),,,589-594,10.1109/ICIPRM.2004.1442794,https://ieeexplore.ieee.org/document/1442794,009.pdf,009.ris,has_pdf,已找到 PDF,,疑似電阻,,,Sumitomo,,,,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2004.1442794
010,4-inch Fe-doped InP substrates manufactured using vertical boat technique,"Hashio, K. ; Hosaka, N. ; Fujiwara, S. ; Sakurada, T. ; Nakai, R. ; Hara, N. ; Matsui, J.",2003,CONF,2003 International Conference on Indium Phosphide and Related Materials (IPRM),,,542-543,10.1109/ICIPRM.2003.1205436,https://ieeexplore.ieee.org/document/1205436,010.pdf,010.ris,has_pdf,已找到 PDF,,疑似電阻,,,Sumitomo,,,,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2003.1205436
011,"Vertical gradient freeze growth of large diameter, low defect density indium phosphide","Monberg, E. M. ; Gault, W. A. ; Simchock, F. ; Dominguez, F.",1987,JOUR,Journal of Crystal Growth,83,2,174-183,10.1016/0022-0248(87)90004-2,https://www.sciencedirect.com/science/article/abs/pii/0022024887900042,011.pdf,011.ris,has_pdf,已找到 PDF,,疑似電阻,,,AT&T／Bell Labs,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(87)90004-2
012,The dynamic gradient freeze growth of InP,"Monberg, E. M. ; Brown, H. ; Bonner, C. E.",1989,JOUR,Journal of Crystal Growth,94,1,109-114,10.1016/0022-0248(89)90609-X,https://www.sciencedirect.com/science/article/abs/pii/002202488990609X,012.pdf,012.ris,has_pdf,已找到 PDF,,電阻,,,AT&T／Bell Labs,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(89)90609-x
013,"Growth of 2"" InP and GaAs crystals by the vertical gradient freeze (VGF) technique and characterization","Amon, J. ; Zemke, D. ; Hoffmann, B. ; Muller, G.",1996,JOUR,Journal of Crystal Growth,166,1月4日,646-650,10.1016/0022-0248(96)00039-5,https://www.sciencedirect.com/science/article/pii/0022024896000395,013.pdf,013.ris,has_pdf,已找到 PDF,,不確定,,,Erlangen、Freiberger、G. Muller、U. Sahr,,,,AI_Notes=growth; Unique_Key=DOI:10.1016/0022-0248(96)00039-5
014,Growth and characterization of 2 in InP crystals by the vertical gradient freeze technique,"Zemke, D. ; Grant, I. R. ; Wittmann, G. ; Muller, G.",1994,JOUR,Materials Science and Engineering: B,28,1月3日,91-94,10.1016/0921-5107(94)90023-X,https://www.sciencedirect.com/science/article/pii/092151079490023X,014.pdf,014.ris,need_download,等待 PDF：014.pdf,,,,,,,,,Paper_Index PDF_Link=尚未放入 PDF; AI_Notes=growth; Unique_Key=DOI:10.1016/0921-5107(94)90023-x
015,"Growth and characterization of 2"" and 4"" low EPD InP substrate crystals by the Vertical Gradient Freeze (VGF)-method","Schwesig, P. ; Sahr, U. ; Friedrich, J. ; Muller, G. ; Kohler, A. ; Kretzer, U. ; Eichler, S. ; Muhe, A.",2005,CONF,2005 International Conference on Indium Phosphide and Related Materials,,,392-397,10.1109/ICIPRM.2005.1517510,https://ieeexplore.ieee.org/document/1517510,015.pdf,015.ris,has_pdf,已找到 PDF,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,,,,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2005.1517510
016,"Photoluminescence topography of sulfur doped 2"" InP grown by the vertical gradient freeze technique","Sahr, U. ; Baeumler, M. ; Grant, I. R. ; Jantz, W. ; Muller, G.",2002,CONF,14th International Conference on Indium Phosphide and Related Materials (IPRM 2002),,,405-408,10.1109/ICIPRM.2002.1014453,https://ieeexplore.ieee.org/document/1014453,016.pdf,016.ris,has_pdf,已找到 PDF,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,,,,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2002.1014453
017,"Growth of S-doped 2"" InP-crystals by the vertical gradient freeze technique","Sahr, U. ; Grant, I. R. ; Muller, G.",2001,CONF,2001 International Conference on Indium Phosphide and Related Materials (IPRM 2001),,,137,10.1109/ICIPRM.2001.929201,https://ieeexplore.ieee.org/document/929201,017.pdf,017.ris,has_pdf,已找到 PDF,,電阻,,,Erlangen、Freiberger、G. Muller、U. Sahr,,,,AI_Notes=growth; Unique_Key=DOI:10.1109/iciprm.2001.929201
018,Recent Technologies in InP Bulk Crystals,"Oda, O. ; Fukui, T. ; Uchida, R. ; Kohiro, K. ; Kurita, H. ; Kainosho, K. ; Asahi, S. ; Suzuki, K.",2000,CHAP,"InP and Related Compounds: Materials, Applications and Devices",9,,,10.1201/9781482282986-9,https://www.taylorfrancis.com/books/9780429080258/chapters/10.1201/9781482282986-9,018.pdf,018.ris,has_pdf,已找到 PDF,,,,專書,專書,CRC Press / Taylor & Francis,,,AG=專書; AI_Notes=growth; Unique_Key=DOI:10.1201/9781482282986-9
019,In-situ synthesis and growth of indium phosphide,"Hyder, SB ; Holloway, CJ",1983,JOUR,Journal of Electronic Materials,12,3,575-585,,,019.pdf,019.ris,has_pdf,已找到 PDF,,感應,,,Varian Associates,Springer,,,ISSN=0361-5235; Unique_Key=TITLE_YEAR:in situ synthesis and growth of indium phosphide_1983
